Model Details
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: [u, n], RMSE: 0.082, BIC: -2011.927

Predictions
Note2: test

Note: link

x,y_original,MooneyRivlin_ypred
0.043636667,0.009761644,-0.010198197123684034
0.065743333,0.019337145,-0.014139570596379436
0.08695,0.028433242,-0.017102444305441528
0.107613333,0.036371197,-0.019186349962261706
0.12783,0.044293726,-0.02042624482178776
0.147633333,0.053813139,-0.020843179596683137
0.167053333,0.062258659,-0.020454307487628498
0.1861,0.070940644,-0.019274772146769342
0.204793333,0.080557646,-0.017318041826730857
0.223146667,0.090185748,-0.014596517528676745
0.24116,0.100559024,-0.011124343531472292
0.25886,0.110950798,-0.006909942345134257
0.276253333,0.12172578,-0.0019641990546211963
0.293346667,0.13274376,0.0037020891235703957
0.310153333,0.14478924,0.010080928427567859
0.326683333,0.157191162,0.01716427263291692
0.342946667,0.169527095,0.024944952760243555
0.35895,0.183310568,0.03341489091209582
0.374693333,0.197680607,0.042562274305437464
0.3902,0.211922247,0.05238963380991424
0.405463333,0.226609126,0.06288202188240488
0.420503333,0.241531733,0.0740425699156746
0.43532,0.257057941,0.08586133931607398
0.44992,0.272654289,0.09833333461460347
0.46431,0.287907839,0.11145414834745393
0.47849,0.303744032,0.12521334158423203
0.492476667,0.319893348,0.13961722699077705
0.50627,0.337047825,0.15465656849579068
0.519876667,0.353392535,0.17032917316650653
0.5333,0.370871044,0.18662951218652557
0.546546667,0.389097305,0.20355644740609102
0.559613333,0.407342311,0.2210959960705775
0.57252,0.426031476,0.23926612720226914
0.585256667,0.444608243,0.25804410066344685
0.59784,0.463793289,0.27744576665295373
0.61026,0.484602141,0.2974469259973074
0.62253,0.504023171,0.3180599005914868
0.63465,0.525487841,0.3392762234697111
0.64663,0.546807048,0.36110531992744943
0.65846,0.568028827,0.3835202119908361
0.67016,0.590491273,0.40655047897840424
0.68172,0.613967337,0.4301685762556613
0.69315,0.636718146,0.454386453482597
0.70445,0.660847312,0.4791961409124881
0.71562,0.684276805,0.5045890578178664
0.72667,0.708920404,0.5305799258367143
0.7376,0.734613411,0.5571613350538149
0.74841,0.760115729,0.5843253091055318
0.759106667,0.786127004,0.6120808750950701
0.76969,0.812283153,0.6404205748831919
0.78016,0.839489973,0.6693364151389825
0.79052,0.867132661,0.6988294864954825
0.80078,0.895532159,0.7289213282169342
0.81093,0.923554466,0.7595751716176922
0.82098,0.952951393,0.7908132803089398
0.83093,0.982224674,0.8226285411758365
0.840783333,1.013074192,0.8550244684376356
0.85054,1.043273635,0.8879939015245633
0.8602,1.074757814,0.9215292038431655
0.86977,1.105906061,0.9556463514795919
