Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 1.114, BIC: 72.634

Predictions
Note2: test2note2

Note: tenq

x,y_original,NeoHookean_ypred
0.043633333,0.018135645,0.0647517633291831
0.065746667,0.031652736,0.09874214058907792
0.08695,0.045264498,0.13213852311801333
0.10761,0.057815022,0.1654826447182864
0.12783,0.07023214,0.19892850648431085
0.147636667,0.083929024,0.23251205584412618
0.167053333,0.096613927,0.2662650039148352
0.1861,0.110668386,0.3002144612344748
0.204793333,0.124174849,0.33438247937690924
0.22314,0.138591645,0.36877289012813197
0.24116,0.153861612,0.40341451771127096
0.25886,0.168415349,0.4383113550328118
0.27625,0.183757431,0.47347354286810434
0.29335,0.199135877,0.508932329222856
0.310156667,0.214903407,0.5446710913615486
0.326686667,0.231796985,0.5807148828225517
0.342943333,0.248106116,0.6170605223653023
0.358946667,0.265655117,0.6537426236889533
0.37469,0.283181226,0.6907353795931431
0.3902,0.301730464,0.7280912039520777
0.405466667,0.320876471,0.7657758080311926
0.4205,0.340597062,0.8038023014683535
0.43532,0.360863981,0.8422111310701828
0.449916667,0.381907232,0.880965896676182
0.464306667,0.403313698,0.9200997797443561
0.47849,0.42526193,0.9596021262272201
0.49248,0.446924312,0.9994995958511362
0.50627,0.468991243,1.039762247513978
0.51988,0.49216602,1.0804378394816938
0.5333,0.515214522,1.1214858310447948
0.546543333,0.539642889,1.1629356920024017
0.559616667,0.563620519,1.2047981305924704
0.57252,0.58853728,1.2470627589719516
0.58526,0.615078697,1.289740853843051
0.59784,0.640979489,1.3328332379490497
0.61026,0.668226506,1.3763290711720302
0.62253,0.695976824,1.4202528341046037
0.63465,0.724051879,1.4645943245031716
0.64663,0.753351419,1.5093803189980628
0.65846,0.782007962,1.554562837795913
0.67016,0.812343819,1.6002081343643937
0.68172,0.842963756,1.646267545844063
0.69315,0.874247938,1.6927705554327797
0.704446667,0.906204532,1.7396933671913233
0.71562,0.938835939,1.7870674447659345
0.72667,0.971552991,1.8348833464522645
0.7376,1.005239178,1.8831458402668486
0.74841,1.040489998,1.9318450739513282
0.759103333,1.075439196,1.9809860299444904
0.76969,1.111160295,2.03060584290298
0.78016,1.147507626,2.0806482196993747
0.79052,1.184298314,2.1311345599509224
0.80078,1.222278324,2.18210489934112
0.81093,1.260470609,2.2335003065208054
0.82098,1.299765613,2.285361624004741
0.83093,1.339056923,2.337679970405247
0.84078,1.378729853,2.3904459434949956
0.85054,1.419738794,2.4437046907318702
0.8602,1.461486065,2.4973927205294126
0.86977,1.50246122,2.551556201937601
0.87925,1.546593326,2.6061867717467697
0.88864,1.589679955,2.6612756012450616
0.89794,1.633464845,2.716813394944227
0.90716,1.678482956,2.772851703102207
