Model Details
Model: NeoHookean, Initial Guess: 1, Bounds: unbounded, RMSE: 0.994, BIC: 3.266
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: unbounded, RMSE: 0.203, BIC: -408.187

Predictions
Note2: tesnt2

Note: test2

x,y_original,NeoHookean_ypred,MooneyRivlin_ypred
1.00089289,0.021898148,1.2330124357449121,-0.470896609988273
1.001785779,0.022731481,1.2353889334895787,-0.44082801690767326
1.002500091,0.018981481,1.2372930808579057,-0.4166997731093858
1.00339298,0.030648148,1.2396769524631668,-0.38644765059335384
1.004196581,0.033564815,1.2418259506168219,-0.3591332913929506
1.00508947,0.040231481,1.2442176319824942,-0.3286867153426414
1.00598236,0.035648148,1.2466134372864852,-0.2981374598631277
1.00678596,0.043564815,1.2487731892506473,-0.2705552303574166
1.007589561,0.046064815,1.2509362936791881,-0.24288950297942336
1.00848245,0.046898148,1.2533436757737695,-0.21205176571233153
1.009286051,0.048148148,1.2555138699859583,-0.18420933670861928
1.010089651,0.056898148,1.2576874283721728,-0.15628300389380456
1.010982541,0.071898148,1.2601064517678444,-0.12515507374051538
1.01187543,0.086481481,1.2625296434773932,-0.09392315091291437
1.012679031,0.091481481,1.264714090961159,-0.06572527085198487
1.013571921,0.099814815,1.2671452312649876,-0.034295078764316145
1.014286232,0.104814815,1.2690931594324066,-0.00907562925208083
1.015089833,0.105231481,1.2712877942580285,0.019376476589414438
1.015804144,0.103564815,1.2732414379816268,0.0447385981983075
1.016607745,0.114398148,1.2754425127612357,0.07335148701160676
1.017500634,0.122731481,1.277892157029412,0.10524365253112933
1.018393524,0.126898148,1.2803460307966177,0.13724143141845957
1.019286413,0.142731481,1.2828041362565372,0.16934496606803862
1.020090014,0.157731481,1.2850200604660114,0.1983288087932067
1.020893615,0.164814815,1.287239426443841,0.2273986732419644
1.021607926,0.172731481,1.2892150873747525,0.253310859056171
1.022322238,0.177314815,1.2911934789065527,0.27929128327440367
1.023125838,0.182314815,1.2934224321635035,0.30860088459400004
1.02384015,0.182731481,1.295406633529886,0.3347266057051712
1.024554462,0.183148148,1.2973935751546029,0.3609208751214368
1.025358062,0.185231481,1.2996321621234237,0.3904714663992337
1.026072374,0.187731481,1.3016249400365931,0.41681177004149106
1.026875974,0.184398148,1.3038701029705355,0.4465269325825858
1.027679575,0.179398148,1.3061187583280445,0.476329487738937
1.028304597,0.185648148,1.3078701259316328,0.49956971165455855
1.029018909,0.193981481,1.3098742847020024,0.5261949322122206
1.029733221,0.192314815,1.3118812127608848,0.5528895106718466
1.030447532,0.194814815,1.3138909113204684,0.5796535219104868
1.031072555,0.214814815,1.3156516781766616,0.6031291403296564
1.031608289,0.206064815,1.3171626014085882,0.6232935582780641
1.0323226,0.188564815,1.3191795991133897,0.6502404647358588
1.032947623,0.184398148,1.320946761437425,0.6738763597714126
1.033483357,0.206481481,1.3224631729748921,0.6941783384954476
1.034108379,0.268981481,1.3242343038072466,0.7179137562830107
1.034644113,0.346481481,1.3257541233717116,0.7383011850459269
1.035090558,0.405231481,1.3270218432262917,0.7553208915777532
1.03571558,0.450231481,1.3287984883329873,0.7791945954808597
1.036340603,0.496064815,1.3305772855982378,0.8031222517413426
1.036965626,0.543564815,1.332358234915244,0.8271038986098205
1.037590648,0.592314815,1.3341413361668255,0.8511395740962797
1.038215671,0.633564815,1.3359265977995034,0.8752294317261686
1.038662116,0.672731481,1.337203107136675,0.8924696646068924
1.03919785,0.720231481,1.3387363746293672,0.9131944992888492
1.039822872,0.758981481,1.3405271939383991,0.9374238973827147
1.040447895,0.804398148,1.3423201834572265,0.9617077524115842
1.041072918,0.843981481,1.3441153430787494,0.9860461027495546
1.04169794,0.886064815,1.3459126726854003,1.0104389865278733
1.042501541,0.921481481,1.3482267259566711,1.0418816283993664
1.043215852,0.958981481,1.3502866833021239,1.0699065777169494
1.043840875,0.997314815,1.352091486592425,1.094487193707181
1.044376609,1.031898148,1.3536401999176364,1.1155999985808478
1.045001631,1.070648148,1.3554490606139042,1.1402826232053513
1.045715943,1.108981481,1.3575190154346577,1.1685588073599433
1.046251677,1.147314815,1.3590733614409884,1.1898132099682357
1.04678741,1.183564815,1.3606293178273987,1.2111081398479087
1.047501722,1.225648148,1.3627064428076117,1.2395646220553402
1.048126745,1.256481481,1.3645262857174265,1.2645233679552348
1.048662478,1.296898148,1.3660879024468922,1.285960670306153
1.04937679,1.326064815,1.3681725841601922,1.314607251633518
1.049912524,1.366481481,1.3697379893773869,1.3361398454713083
