z_u21,z_u22
1,0.000350877192982456
1.01601706685999,0.023859649122807
1.03403373373832,0.0407017543859649
1.05037550409607,0.0810526315789474
1.06802789081929,0.161754385964912
1.07705044301066,0.30280701754386
1.08354021564224,0.548070175438596
1.08791504149638,0.796842105263158
1.09118943525026,1.28070175438596
1.09666776880617,1.91228070175439
1.09948989212413,2.15754385964912
1.10218298322556,2.91017543859649
1.10587589854046,4.14666666666667


# Details:
Description: foldertest2
Author: testanme2
